Bacteria,Condition,Plant Number,PH,Avg PH,SD PH,PL,FL,TT,ET,FGN,Av FGN,Sd FGN,FGW(g),Avg FGW,SD FGW,UFGN,UFGW(g),Total_spikelet,Avg Total Spikelet,SD Total Spikelet,Percent_Fertility,Filled_spikelets_per_panicle,Avg Filled_spikelets_per_panicle,SD Filled_spikelets_per_panicle,TGW,1000_grain_weight ,Spikelet_per_Panicle,Yield,Avg yield,SD yield
J,Control,3.1,74,,,15.9,30.2,5,5,229,,,3.785,,,147,1.78,376,,,60.90425532,45.8,,,5.565,82.6419214,75.2,18.925,,
J,Control,4.1,78,,,18,19.6,5,5,247,,,3.244,,,254,2.171,501,,,49.30139721,49.4,,,5.415,65.66801619,100.2,16.22,,
J,40 mM Salt,1,56.5,66.3,6.379655163,13.3,22.6,7,5,143,,,1.939,,,148,1.608,291,,,49.14089347,28.6,,,3.547,67.7972028,58.2,9.695,,
J,40 mM Salt,2,64,,,13,18.125,4,4,67,86.25,20.15564437,0.685,1.258,0.47934191,121,0.236,188,293.75,99.91454682,35.63829787,16.75,17.47916667,4.194647714,0.921,40.89552239,47,2.74,6.38525,2.625533009
J,40 mM Salt,2.1,68,,,13.9,17.6,7,6,73,,,1.066,,,249,1.829,322,,,22.67080745,12.16666667,,,2.895,87.61643836,53.66666667,6.396,,
J,40 mM Salt,2.2,70,,,13.8,15.7,5,5,94,,,1.766,,,152,1.617,246,,,38.21138211,18.8,,,3.383,93.93617021,49.2,8.83,,
J,40 mM Salt,3,73,,,16.8,20.9,6,5,111,,,1.515,,,308,2.101,419,,,26.49164678,22.2,,,3.616,68.24324324,83.8,7.575,,
J,80 mM Salt,1,73,62.375,8.380284402,15.86,23.5,5,4,96,69,19.02629759,1.218,1.3085,0.402490166,143,1.583,239,175.75,58.2487482,40.16736402,24,18.9,7.107742258,2.801,50.75,59.75,4.872,5.5015,3.092925853
J,80 mM Salt,1.1,65,,,15.1,21.8,6,5,67,,,1.14,,,134,1.601,201,,,33.33333333,13.4,,,2.741,85.07462687,40.2,5.7,,
J,80 mM Salt,4,54.5,,,13,18,5,5,61,,,1.894,,,99,1.51,160,,,38.125,12.2,,,3.404,155.2459016,32,9.47,,
J,80 mM Salt,2,57,,,12,18.25,4,2,52,,,0.982,,,51,0.743,103,,,50.48543689,26,,,1.725,37.76923077,51.5,1.964,,
