Bacteria,Condition,Shoot length(cm),Root length(cm),Shoot weight(mg),Root weight(mg),SEScore,Electrolyte leakage C1,Electrolyte leakage C2,Electrolyte leakage(C1/C2),ChA (663nm),Chlorophyll_A(663nm),ChB(645nm),Chlorophyll_B(645nm),Total_Chlorophyll,Av chro,Sd ch,ChT(652nm)
C,Control,54,9,2571,1100,,0.068,0.195,0.348717949,1.988,0.01594376,0.731,0.0147662,0.03070996,,,1.085
C,Control,59,12,4075,852,,0.089,0.179,0.497206704,1.876,0.01504552,0.823,0.0166246,0.03167012,,,1.119
C,Control,50,9,3014,921,,0.064,0.185,0.345945946,2.274,0.01823748,0.839,0.0169478,0.03518528,,,1.25
C,40 mM Salt,55,10,3401,1079,6,0.337,0.465,0.724731183,1.157,0.00927914,0.433,0.0087466,0.01802574,0.023587104,0.005123818,0.637
C,40 mM Salt,54,11.5,3330,605,6,0.259,0.36,0.719444444,1.215,0.0097443,0.437,0.0088274,0.0185717,,,0.654
C,40 mM Salt,56,11,3260,888,7,0.382,0.549,0.695810565,0.864,0.00692928,1.023,0.0206646,0.02759388,,,0.477
C,40 mM Salt,53,10,2889,543,5,0.135,0.244,0.553278689,1.904,0.01527008,0.692,0.0139784,0.02924848,,,1.031
C,40 mM Salt,52,9,3163,658,5,0.171,0.318,0.537735849,1.596,0.01279992,0.579,0.0116958,0.02449572,,,0.863
C,80 mM Salt,48,9,2263,477,8,0.319,0.357,0.893557423,0.252,0.00202104,0.101,0.0020402,0.00406124,0.014988,0.011166194,0.145
C,80 mM Salt,49,7.5,1613,574,7,0.66,1.073,0.615097856,0.679,0.00544558,0.259,0.0052318,0.01067738,,,0.38
C,80 mM Salt,59,11,3457,549,7,0.334,0.48,0.695833333,1.716,0.01376232,0.95,0.01919,0.03295232,,,1.168
C,80 mM Salt,49,10,1566,289,7,0.651,0.903,0.720930233,1.155,0.0092631,0.421,0.0085042,0.0177673,,,0.633
C,80 mM Salt,50.6,7,2476,440,7,0.609,0.871,0.699196326,0.608,0.00487616,0.228,0.0046056,0.00948176,,,0.338
D,Control,52.5,11,5250,1046,,0.45,0.152,2.960526316,2.182,0.01749964,0.806,0.0162812,0.03378084,0.031674476,0.00363217,1.183
D,Control,56,12.5,6195,1285,,0.063,0.179,0.351955307,2.204,0.01767608,0.825,0.016665,0.03434108,,,1.228
D,Control,53,10.2,4758,918,,0.078,0.178,0.438202247,2.188,0.01754776,0.807,0.0163014,0.03384916,,,1.198
D,Control,50,9,3528,989,,0.07,0.192,0.364583333,1.975,0.0158395,0.735,0.014847,0.0306865,,,1.077
D,Control,55,9.5,3751,1323,,0.073,0.124,0.588709677,1.68,0.0134736,0.606,0.0122412,0.0257148,,,0.903
D,40 mM Salt,53,11,3798,665,4,0.172,0.304,0.565789474,0.692,0.00554984,0.248,0.0050096,0.01055944,0.0239435,0.008997928,0.939
D,40 mM Salt,59,11,3753,816,5,0.119,0.241,0.493775934,1.228,0.00984856,0.446,0.0090092,0.01885776,,,1.02
D,40 mM Salt,51,6.5,2821,481,5,0.262,0.412,0.63592233,1.65,0.013233,0.833,0.0168266,0.0300596,,,0.832
D,40 mM Salt,53,7.5,2776,419,5,0.387,0.481,0.804573805,1.566,0.01255932,0.79,0.015958,0.02851732,,,0.466
D,40 mM Salt,43,6,1777,559,6,0.395,0.511,0.772994129,1.729,0.01386658,0.884,0.0178568,0.03172338,,,1.064
D,80 mM Salt,43,9,2617,570,8,0.465,0.533,0.872420263,0.761,0.00610322,0.448,0.0090496,0.01515282,0.011241472,0.004176917,0.236
D,80 mM Salt,42.5,7.5,1607,600,8,0.488,0.65,0.750769231,0.455,0.0036491,0.19,0.003838,0.0074871,,,0.581
D,80 mM Salt,50,9,1607,358,8,0.32,0.409,0.782396088,0.285,0.0022857,0.198,0.0039996,0.0062853,,,0.789
D,80 mM Salt,53,8,2414,587,7,0.34,0.434,0.783410138,0.607,0.00486814,0.507,0.0102414,0.01510954,,,0.37
D,80 mM Salt,55,7.8,2400,154,7,0.478,0.625,0.7648,0.47,0.0037694,0.416,0.0084032,0.0121726,,,1.109
